revision;file;nodeIdentifier1;nodeIdentifier2
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/IntegerProperty.java;public void setEnum(List<Integer> _enum) ;public void setEnum(List<Integer> _enum) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/FloatProperty.java;protected List<Float> _enum;protected List<Float> _enum
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/FloatProperty.java;public FloatProperty _enum(Float value) ;public FloatProperty _enum(Float value) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/FloatProperty.java;public FloatProperty _enum(List<Float> value) ;public FloatProperty _enum(List<Float> value) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/FloatProperty.java;public List<Float> getEnum() ;public List<Float> getEnum() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/FloatProperty.java;public void setEnum(List<Float> _enum) ;public void setEnum(List<Float> _enum) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/LongProperty.java;protected List<Long> _enum;protected List<Long> _enum
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/LongProperty.java;public LongProperty _enum(Long value) ;public LongProperty _enum(Long value) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/LongProperty.java;public LongProperty _enum(List<Long> value) ;public LongProperty _enum(List<Long> value) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/LongProperty.java;public List<Long> getEnum() ;public List<Long> getEnum() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-models/src/main/java/io/swagger/models/properties/LongProperty.java;public void setEnum(List<Long> _enum) ;public void setEnum(List<Long> _enum) 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-jersey2-jaxrs/src/test/java/io/swagger/SwaggerJersey2JaxrsTest.java;@Test(description = "FormDataBodyPart should be ignored when generating the Swagger document")    public void testFormDataBodyPart() ;@Test(description = "FormDataBodyPart should be ignored when generating the Swagger document")    public void testFormDataBodyPart() 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-jaxrs/src/test/java/io/swagger/resources/generics/ApiCrudRoute.java;protected List<T> service;protected List<T> service
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-jaxrs/src/test/java/io/swagger/resources/generics/ApiCrudRoute.java;@POST    @ApiOperation(value = "Create")    public Response doCreate(            @ApiParam(value = "Create object", required = true) T entity) throws Exception ;@POST    @ApiOperation(value = "Create")    public Response doCreate(            @ApiParam(value = "Create object", required = true) T entity) throws Exception 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-core/src/test/java/io/swagger/ModelSerializerTest.java;@Test(description = "it should generate an integer field with enum")    public void integerEnumGeneration() throws IOException ;@Test(description = "it should generate an integer field with enum")    public void integerEnumGeneration() throws IOException 
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_72b588a_0567e01/rev_72b588a-0567e01.revisions;/modules/swagger-jersey2-jaxrs/src/test/java/io/swagger/resources/ResourceWithFormData.java;@Path("test")@Api(value ;@Path("test")@Api(value 
