revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_49f8848_a09c22b/rev_49f8848-a09c22b.revisions;743;578;0;578;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_28b18af_2f98913/rev_28b18af-2f98913.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_c3f48e8_a944a90/rev_c3f48e8-a944a90.revisions;743;578;0;578;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_f48f9bd_85a62a3/rev_f48f9bd-85a62a3.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_1ba7d34_80c6b11/rev_1ba7d34-80c6b11.revisions;743;578;0;578;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_22f6f5b_84c747f/rev_22f6f5b-84c747f.revisions;128;108;0;108;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_a9d08af_dd0fd15/rev_a9d08af-dd0fd15.revisions;745;580;0;580;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_88c9d16_cc6f393/rev_88c9d16-cc6f393.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_f0a10ed_07e3a42/rev_f0a10ed-07e3a42.revisions;745;580;0;580;0;165;165;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_3d9b488_b793cd9/rev_3d9b488-b793cd9.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_0d5677b_09c2b0c/rev_0d5677b-09c2b0c.revisions;748;580;0;580;0;168;167;1;0;1;1;1;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_9f40b96_2d1c49c/rev_9f40b96-2d1c49c.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_685a067_ebbd5ef/rev_685a067-ebbd5ef.revisions;748;580;0;580;0;168;168;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_b71c8e6_a117f88/rev_b71c8e6-a117f88.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_dae448b_e561296/rev_dae448b-e561296.revisions;752;580;0;580;0;172;172;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_edc1b1a_0a6bd7c/rev_edc1b1a-0a6bd7c.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_516b4ec_2ea3d07/rev_516b4ec-2ea3d07.revisions;752;580;0;580;0;172;172;0;0;0;0;0;0
